# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
168.5656144; 89621.1986590; 43176.5766776; 0.8207062; -0.1384378; 7.3388136; -1.2549973
169.5630441; 89620.5226689; 43177.3017193; 0.6790337; -0.1448014; 7.1662153; -1.2251303
170.5604738; 89619.9560626; 43178.1160087; 0.5381650; -0.1366836; 6.9936170; -1.2196497
171.5579034; 89619.5056036; 43178.9967115; 0.4080756; -0.1340881; 6.8174518; -1.2170115
172.5553331; 89619.1784191; 43179.9244966; 0.2667749; -0.1536216; 6.6370085; -1.1843678
173.5527628; 89618.9922968; 43180.9163035; 0.1006120; -0.1749554; 6.4565653; -0.4146100
174.5501924; 89618.9809342; 43181.9130474; -0.0766069; -0.1685141; 6.3921942; 0.2761154
175.5476221; 89619.1346394; 43182.8890418; -0.2325884; -0.1490087; 6.4351346; 0.2779640
176.5450518; 89619.4382821; 43183.8503395; -0.3779670; -0.1409912; 6.4780751; 0.4834340
177.5424814; 89619.8768095; 43184.7601331; -0.5203005; -0.1399231; 6.5520867; 0.8922287
178.5399111; 89620.4319548; 43185.5899484; -0.6584592; -0.1371062; 6.6865320; 0.9103508
179.5373408; 89621.0941600; 43186.3347688; -0.7950889; -0.1374069; 6.8209774; 1.0405538
180.5347705; 89621.8487482; 43186.9794522; -0.9330106; -0.1399068; 6.9714770; 2.0324836
181.5322001; 89622.6753211; 43187.5093682; -1.0671630; -0.1324173; 7.2564461; 2.1139003
182.5296298; 89623.5732434; 43187.9316590; -1.1934060; -0.1214946; 7.5414152; 2.1953169
183.5270595; 89624.5353608; 43188.2482593; -1.3102770; -0.1090962; 7.8263844; 0.0533048
184.5244891; 89625.5361499; 43188.4592461; -1.4125264; -0.0914085; 7.8331748; -0.3725459
185.5219188; 89626.5499796; 43188.5745170; -1.5015836; -0.0851906; 7.7855925; -0.3702760
186.5193485; 89627.5338543; 43188.6007912; -1.5878064; -0.0926325; 7.7380102; 0.7407649
187.5167782; 89628.5646767; 43188.5299402; -1.6946969; -0.1133236; 7.8329129; 1.8433005
188.5142078; 89629.5741611; 43188.3407293; -1.8205680; -0.1313739; 8.0642203; 1.8969415
189.5116375; 89630.4422258; 43188.0608910; -1.9466688; -0.1440489; 8.2955278; 1.5957606
190.5090672; 89631.2980278; 43187.6509803; -2.0877171; -0.1377884; 8.4852283; 1.5955542
191.5064968; 89632.1350272; 43187.1106654; -2.1868593; -0.0591372; 8.6707558; 1.9614038
192.5039265; 89632.9064537; 43186.5413449; -2.2210750; -0.0240001; 8.8935218; 2.1770294
193.5013562; 89633.6793956; 43185.9410725; -2.2397670; -0.0154155; 9.1344183; 2.2352100
194.4987859; 89634.5034758; 43185.2797812; -2.2535760; -0.0112371; 9.3753148; -1.0266066
195.4962155; 89635.3135062; 43184.6144579; -2.2611623; -0.0000159; 9.2654515; -2.8424871
196.4936452; 89636.1039020; 43183.9652196; -2.2529533; 0.0164835; 8.9542297; -2.7453785
197.4910749; 89636.8802378; 43183.3491802; -2.2266208; 0.0383107; 8.6430079; -2.2423245
198.4885045; 89637.6905480; 43182.7568399; -2.1721817; 0.0683335; 8.3802424; -1.4831612
199.4859342; 89638.5660996; 43182.2062782; -2.0871109; 0.0971197; 8.2018148; -1.4512428
200.4833639; 89639.4086726; 43181.7824961; -1.9821243; 0.1247841; 8.0233871; -1.2840081
201.4807936; 89640.3070811; 43181.4564783; -1.8529718; 0.1406373; 7.8621450; -1.2092298
202.4782232; 89641.2672847; 43181.2466507; -1.7226220; 0.1184840; 7.7072097; -0.2467829
203.4756529; 89642.2578285; 43181.1479085; -1.6234412; 0.0864530; 7.6752058; 1.5142276
204.4730826; 89643.2202992; 43181.1360146; -1.5438454; 0.0802454; 7.8695270; 1.5520856
205.4705122; 89644.2449938; 43181.2057434; -1.4618668; 0.0801633; 8.0638482; 2.1842850
206.4679419; 89645.2538423; 43181.3581901; -1.3808254; 0.0736037; 8.3296452; 2.9252997
207.4653716; 89646.2196053; 43181.5782443; -1.3148882; 0.0603566; 8.6728629; 3.0434016
208.4628013; 89647.1859190; 43181.8609424; -1.2590116; 0.0512270; 9.0160805; 2.8632944
209.4602309; 89648.1425626; 43182.1956872; -1.2104811; 0.0444594; 9.3274636; 2.1369592
210.4576606; 89649.0837855; 43182.5733934; -1.1690771; 0.0373157; 9.5532461; 2.1880683
211.4550903; 89649.9942424; 43182.9791391; -1.1351225; 0.0308719; 9.7790285; 1.6037079
212.4525199; 89650.8744786; 43183.4040792; -1.1079437; 0.0250337; 9.9412560; -3.8169940
213.4499496; 89651.7697160; 43183.8642429; -1.0848314; 0.0204368; 9.5506128; -3.6639986
214.4473793; 89652.6406525; 43184.3344385; -1.0678091; 0.0136773; 9.1599696; -4.0180809
215.4448089; 89653.5092195; 43184.8185792; -1.0581602; 0.0043425; 8.7114601; -6.5636517
216.4422386; 89654.3910741; 43185.3138738; -1.0630136; -0.0139487; 7.9243911; -5.9425778
217.4396683; 89655.2718098; 43185.7922204; -1.0869241; -0.0346381; 7.1373222; -4.5570280
218.4370980; 89656.1678098; 43186.2385593; -1.1347498; -0.0587870; 6.4692147; -1.2994273
219.4345276; 89657.1430883; 43186.6534431; -1.2057536; -0.0778940; 6.2656655; -1.2578883
220.4319573; 89658.0437329; 43186.9547967; -1.2965766; -0.1198097; 6.0621163; -1.4900031
221.4293870; 89658.9899244; 43187.1439509; -1.4769572; -0.2724032; 5.8117903; -1.5364836
222.4268166; 89659.9581087; 43187.0939744; -1.7675584; -0.2730703; 5.5418262; -0.8041953
223.4242463; 89660.8446794; 43186.8136955; -1.9745805; -0.1943118; 5.3951443; -0.5471283
224.4216760; 89661.7192891; 43186.3386405; -2.1604955; -0.1835825; 5.2930273; -0.4203657
225.4191057; 89662.5478067; 43185.6561512; -2.3597676; -0.1814425; 5.2132108; 0.3453435
226.4165353; 89663.1798504; 43184.9040515; -2.5208605; -0.1518394; 5.2788710; 0.3496659
227.4139650; 89663.7038837; 43184.0401744; -2.6715584; -0.1503662; 5.3445311; 0.3633311
228.4113947; 89664.0870371; 43183.1121620; -2.8325741; -0.1741227; 5.4119135; 0.7686251
229.4088243; 89664.3099097; 43182.0947953; -3.0223574; -0.1918625; 5.5517661; 0.7882343
230.4062540; 89664.3292099; 43181.1034732; 3.0561337; -0.2230646; 5.6916187; 0.8826691
231.4036837; 89664.1418806; 43180.1716373; 2.8233491; -0.2625543; 5.8442556; 1.3638852
232.4011134; 89663.7244840; 43179.2950878; 2.5748037; -0.2396708; 6.0725680; 1.4161460
233.3985430; 89663.1006981; 43178.5197582; 2.3627800; -0.1837668; 6.3008805; 1.8320903
234.3959727; 89662.3441117; 43177.8695797; 2.2090195; -0.1208674; 6.5845165; 2.4020513
235.3934024; 89661.5303129; 43177.3264944; 2.1179304; -0.0690549; 6.9388480; 2.5279257
236.3908320; 89660.6462622; 43176.8218173; 2.0673366; -0.0321827; 7.2931796; 2.4251370
237.3882617; 89659.7367487; 43176.3422965; 2.0485341; -0.0119312; 7.6176292; 2.0334589
238.3856914; 89658.8343502; 43175.8825510; 2.0349203; -0.0150708; 7.8793870; 2.1021526
239.3831211; 89657.9404059; 43175.4440843; 2.0180293; -0.0190398; 8.1411448; 2.2186686
240.3805507; 89657.0493098; 43175.0277701; 1.9966657; -0.0262771; 8.4085772; 2.5331767
241.3779804; 89656.1160026; 43174.6228117; 1.9604609; -0.0452994; 8.7038785; 2.6206043
242.3754101; 89655.1920777; 43174.2708228; 1.9058212; -0.0652884; 8.9991799; 0.2832703
243.3728397; 89654.2598067; 43173.9822196; 1.8349547; -0.0670178; 9.0305217; -6.1762626
244.3702694; 89653.3011712; 43173.7485737; 1.7928167; -0.0182362; 8.3204295; -5.6707322
245.3676991; 89652.3263465; 43173.5296246; 1.7984662; 0.0286182; 7.6103373; -3.6297637
246.3651288; 89651.3572694; 43173.2833809; 1.8470178; 0.0658588; 7.1187335; -1.2402357
247.3625584; 89650.4163479; 43172.9779141; 1.9275180; 0.0969134; 6.9427855; -1.2091982
248.3599881; 89649.4962603; 43172.5772483; 2.0407857; 0.1285681; 6.7668375; -1.1803276
249.3574178; 89648.6194515; 43172.0513394; 2.1825632; 0.1329000; 6.5905616; -1.1525640
250.3548474; 89647.8133860; 43171.4047257; 2.3077241; 0.1128444; 6.4137586; -1.1212241
251.3522771; 89647.1173076; 43170.6989395; 2.4189367; 0.1156684; 6.2369556; -0.9841465
252.3497068; 89646.5027306; 43169.9060342; 2.5539280; 0.1656777; 6.0775308; -0.8022388
253.3471364; 89646.0280187; 43169.0167442; 2.7619103; 0.2429477; 5.9444115; -0.2641463
254.3445661; 89645.7893806; 43168.1307908; 2.9964836; 0.2548884; 5.8999231; 3.0245006
255.3419958; 89645.7599296; 43167.1996633; -3.0685253; 0.2002050; 6.3908173; 3.2660987
256.3394255; 89645.9302668; 43166.1599573; -2.9053573; 0.1131401; 6.8817115; 2.2878181
257.3368551; 89646.2013858; 43165.2364646; -2.8085603; 0.0976832; 7.2056803; 2.2196718
258.3342848; 89646.5782785; 43164.3023512; -2.7056524; 0.1093769; 7.5066479; 2.3104866
259.3317145; 89647.0723884; 43163.3914036; -2.5783534; 0.1394387; 7.8076154; 1.8073283
260.3291441; 89647.6688184; 43162.5815582; -2.4361190; 0.1379614; 8.0351866; 1.7816953
261.3265738; 89648.3639894; 43161.8687131; -2.3027640; 0.1296241; 8.2533905; 1.8294310
262.3240035; 89649.1435999; 43161.2524826; -2.1779103; 0.1216812; 8.4715945; 1.4038306
263.3214332; 89649.9767256; 43160.7424639; -2.0645230; 0.1086395; 8.6352972; 1.3194294
264.3188628; 89650.8678458; 43160.3196101; -1.9662253; 0.0902046; 8.7863777; 1.3423136
265.3162925; 89651.8191519; 43159.9690840; -1.8847431; 0.0706531; 8.9374583; 1.1202548
266.3137222; 89652.7707401; 43159.6946999; -1.8180868; 0.0701705; 9.0616175; 1.0112976
267.3111518; 89653.7371559; 43159.4877001; -1.7438620; 0.0802052; 9.1722575; 1.0235704
268.3085815; 89654.7363276; 43159.3562901; -1.6573549; 0.0915764; 9.2828975; 0.4916350
269.3060112; 89655.7651376; 43159.3178056; -1.5576962; 0.0963776; 9.3355733; -1.3131941
270.3034409; 89656.8167853; 43159.3826177; -1.4624505; 0.0869309; 9.1941988; -1.2931559
271.3008705; 89657.8184674; 43159.5368939; -1.3723461; 0.0940269; 9.0528243; -1.2731176
272.2983002; 89658.7162757; 43159.7620027; -1.2727659; 0.1282907; 8.9114498; -6.1337093
273.2957299; 89659.7391418; 43160.1688944; -1.1034137; 0.1739345; 8.1962217; -6.1534150
274.2931595; 89660.5367216; 43160.6583545; -0.9387354; 0.1635481; 7.4096459; -4.7058841
